"region","sexo","edad","educ","ingreso","univ","genero"
6,2,20,5,NA,NA,"Mujer"
13,1,13,2,NA,NA,"Hombre"
7,2,53,8,300000,0,"Mujer"
13,2,21,7,440000,NA,"Mujer"
5,1,28,9,470000,0,"Hombre"
1,2,1,0,NA,NA,"Mujer"
13,2,3,0,NA,NA,"Mujer"
10,2,57,2,140000,0,"Mujer"
8,1,44,3,453333,0,"Hombre"
14,1,67,5,80000,0,"Hombre"
13,1,58,1,151000,0,"Hombre"
5,2,75,1,NA,0,"Mujer"
8,2,40,6,NA,0,"Mujer"
15,1,56,11,800000,1,"Hombre"
8,2,22,3,180000,NA,"Mujer"
9,1,75,3,180000,0,"Hombre"
8,1,30,5,352917,0,"Hombre"
13,2,65,11,910000,1,"Mujer"
13,2,55,5,64000,0,"Mujer"
6,1,31,2,300000,0,"Hombre"
3,2,32,0,NA,0,"Mujer"
13,1,57,2,280000,0,"Hombre"
9,2,74,1,33333,0,"Mujer"
9,1,45,99,130000,NA,"Hombre"
13,1,51,3,433333,0,"Hombre"
7,1,52,5,282917,0,"Hombre"
15,1,76,3,334571,0,"Hombre"
13,1,61,11,917000,1,"Hombre"
8,2,38,11,800000,1,"Mujer"
5,1,25,11,330000,1,"Hombre"
9,1,4,0,NA,NA,"Hombre"
10,2,60,0,NA,0,"Mujer"
8,1,22,2,NA,NA,"Hombre"
6,1,32,7,994917,0,"Hombre"
13,2,55,8,342500,0,"Mujer"
6,1,10,1,NA,NA,"Hombre"
13,2,40,11,805000,1,"Mujer"
13,2,50,99,500000,NA,"Mujer"
8,2,46,1,NA,0,"Mujer"
9,1,45,5,800000,0,"Hombre"
13,1,39,8,454167,0,"Hombre"
13,1,64,5,206000,0,"Hombre"
13,2,37,5,200000,0,"Mujer"
14,1,55,2,286000,0,"Hombre"
7,1,58,3,550000,0,"Hombre"
12,1,0,0,NA,NA,"Hombre"
13,1,20,7,NA,NA,"Hombre"
13,2,5,0,NA,NA,"Mujer"
1,2,61,5,275000,0,"Mujer"
13,2,55,5,450000,0,"Mujer"
14,2,47,1,NA,0,"Mujer"
16,2,17,3,NA,NA,"Mujer"
16,2,54,1,170000,0,"Mujer"
16,2,72,1,186000,0,"Mujer"
