"region","sexo","edad","educ","ingreso","univ"
14,2,25,6,NA,NA
8,2,65,1,NA,0
8,2,92,5,161335,0
10,2,29,9,NA,0
7,2,68,2,200000,0
13,2,37,5,530000,0
13,2,6,0,NA,NA
13,2,11,1,NA,NA
13,2,72,4,197695,0
13,2,30,9,350000,0
4,2,45,5,NA,0
9,2,6,1,NA,NA
13,2,47,2,180000,0
8,2,53,9,278000,0
1,2,60,3,100000,0
15,2,42,5,NA,0
4,2,57,1,NA,0
5,2,31,11,270000,1
4,2,26,8,NA,NA
2,2,3,0,NA,NA
5,2,49,8,NA,0
5,2,24,5,NA,NA
13,2,5,0,NA,NA
12,2,11,1,NA,NA
13,2,13,1,NA,NA
5,2,60,1,75000,0
2,2,21,9,NA,NA
7,2,21,9,NA,NA
13,2,32,0,NA,0
8,2,70,5,250000,0
10,2,48,9,267623,0
1,2,27,11,NA,1
7,2,60,2,100000,0
12,2,33,11,1643750,1
10,2,12,1,NA,NA
13,2,38,5,603333,0
6,2,10,1,NA,NA
13,2,28,7,NA,0
1,2,50,4,NA,0
13,2,34,6,429144,0
2,2,20,9,NA,NA
8,2,54,6,310000,0
6,2,28,6,NA,0
8,2,75,9,550000,0
7,2,64,2,120000,0
2,2,21,6,NA,NA
5,2,7,1,NA,NA
9,2,20,3,230000,NA
15,2,41,5,200000,0
6,2,50,2,25000,0
1,2,22,6,240000,NA
13,2,27,7,NA,NA
14,2,76,1,8333,0
13,2,36,11,1000000,1
15,2,65,1,NA,0
13,2,62,11,955082,1
4,2,7,1,NA,NA
3,2,54,3,216667,0
14,2,16,2,NA,NA
6,2,48,2,NA,0
8,2,67,5,250000,0
13,2,11,1,NA,NA
14,2,13,2,NA,NA
13,2,3,0,NA,NA
13,2,20,4,NA,NA
1,2,3,0,NA,NA
15,2,16,2,NA,NA
6,2,45,4,400000,0
12,2,46,4,120000,0
4,2,84,2,NA,0
6,2,49,5,270000,0
13,2,40,5,380000,0
13,2,20,8,400000,NA
15,2,8,1,NA,NA
15,2,84,3,NA,0
5,2,59,5,300000,0
12,2,19,0,NA,NA
13,2,89,5,200000,0
13,2,5,0,NA,NA
13,2,71,2,147000,0
4,2,34,5,NA,0
13,2,25,9,808333,NA
4,2,50,0,244000,0
5,2,43,1,NA,0
16,2,47,2,270000,0
5,2,29,1,304167,0
12,2,15,4,NA,NA
8,2,11,1,NA,NA
5,2,22,8,300000,NA
13,2,30,1,NA,0
8,2,33,10,1200000,0
4,2,2,0,NA,NA
16,2,14,3,NA,NA
13,2,57,2,NA,0
4,2,63,11,275000,1
2,2,56,6,350000,0
14,2,26,6,NA,NA
7,2,1,0,NA,NA
4,2,3,0,NA,NA
11,2,40,8,406667,0
13,2,30,11,452917,1
13,2,7,1,NA,NA
5,2,77,2,132000,0
9,2,76,1,NA,0
13,2,12,1,NA,NA
11,2,66,1,NA,0
5,2,3,0,NA,NA
15,2,43,5,415000,0
13,2,33,7,504167,0
7,2,52,5,NA,0
15,2,29,11,300000,1
5,2,52,5,NA,0
3,2,63,1,60000,0
7,2,52,3,NA,0
15,2,27,6,NA,NA
8,2,47,8,400000,0
2,2,32,1,NA,0
14,2,82,3,417,0
12,2,41,2,319667,0
7,2,7,1,NA,NA
11,2,33,10,1033833,0
13,2,20,9,NA,NA
8,2,32,8,420000,0
13,2,52,5,363667,0
13,2,2,0,NA,NA
5,2,93,12,450000,1
3,2,58,1,NA,0
15,2,94,3,220000,0
9,2,62,5,NA,0
8,2,7,1,NA,NA
8,2,57,1,50000,0
6,2,68,5,100000,0
6,2,57,11,1365833,1
16,2,40,6,180000,0
3,2,34,3,300000,0
13,2,24,3,NA,NA
7,2,24,3,270000,NA
6,2,24,3,NA,NA
5,2,59,1,NA,0
8,2,36,5,140000,0
1,2,65,1,80000,0
10,2,68,3,207667,0
1,2,33,9,780000,0
1,2,32,3,390500,0
12,2,82,3,240000,0
10,2,41,3,NA,0
7,2,52,1,NA,0
5,2,77,1,180000,0
13,2,45,11,402083,1
5,2,10,1,NA,NA
13,2,3,0,NA,NA
7,2,41,1,NA,0
9,2,79,1,182000,0
4,2,26,4,100000,NA
2,2,18,99,NA,NA
5,2,11,1,NA,NA
3,2,25,9,NA,NA
2,2,86,6,400000,0
1,2,78,3,365000,0
9,2,50,1,275833,0
6,2,59,4,150000,0
10,2,61,2,NA,0
16,2,36,5,250000,0
8,2,38,11,706250,1
7,2,9,1,NA,NA
6,2,58,3,NA,0
12,2,18,5,NA,NA
6,2,67,2,NA,0
13,2,14,2,NA,NA
14,2,75,1,NA,0
6,2,42,11,1002333,1
5,2,20,7,NA,NA
7,2,9,1,NA,NA
13,2,7,1,NA,NA
9,2,21,3,80000,NA
3,2,58,12,600000,1
13,2,45,8,NA,0
5,2,22,5,NA,NA
13,2,4,0,NA,NA
12,2,7,1,NA,NA
6,2,36,8,405000,0
16,2,42,5,245000,0
15,2,95,1,220000,0
13,2,61,5,210000,0
13,2,25,9,236867,NA
5,2,69,3,NA,0
2,2,39,99,344129,NA
8,2,18,5,NA,NA
6,2,45,11,200000,1
13,2,33,7,50000,0
5,2,57,2,320917,0
13,2,49,5,3000000,0
15,2,4,0,NA,NA
7,2,89,0,NA,0
13,2,71,1,150000,0
5,2,9,1,NA,NA
6,2,1,0,NA,NA
6,2,2,0,NA,NA
8,2,30,6,455833,0
6,2,53,3,270000,0
16,2,1,0,NA,NA
8,2,60,5,NA,0
7,2,90,1,NA,0
7,2,50,6,220000,0
15,2,62,6,75000,0
6,2,82,1,95000,0
8,2,26,9,NA,NA
9,2,11,1,NA,NA
4,2,2,0,NA,NA
13,2,54,6,431667,0
7,2,28,11,520000,1
7,2,45,5,NA,0
9,2,79,1,18000,0
7,2,74,2,NA,0
3,2,79,99,NA,NA
13,2,60,3,NA,0
13,2,51,5,508333,0
5,2,22,9,600000,NA
6,2,26,5,325000,NA
14,2,75,2,NA,0
13,2,41,11,909583,1
13,2,0,0,NA,NA
9,2,46,7,321000,0
7,2,77,0,NA,0
4,2,4,0,NA,NA
5,2,36,5,319708,0
2,2,50,11,1045000,1
14,2,10,1,NA,NA
8,2,8,1,NA,NA
12,2,24,5,NA,NA
10,2,21,7,NA,NA
6,2,7,1,NA,NA
13,2,14,2,NA,NA
1,2,3,0,NA,NA
5,2,43,5,150000,0
8,2,2,0,NA,NA
8,2,80,1,NA,0
9,2,67,2,586667,0
13,2,33,11,1600000,1
6,2,3,0,NA,NA
13,2,30,6,NA,0
10,2,9,1,NA,NA
13,2,85,1,312000,0
1,2,62,11,NA,1
13,2,55,5,170000,0
1,2,53,3,387000,0
13,2,45,5,100000,0
13,2,15,3,NA,NA
10,2,32,0,NA,0
14,2,12,1,NA,NA
7,2,13,2,NA,NA
9,2,73,0,112000,0
13,2,19,3,319167,NA
3,2,34,6,NA,0
13,2,15,3,NA,NA
1,2,67,2,104640,0
6,2,5,0,NA,NA
1,2,83,2,110000,0
4,2,67,2,172000,0
9,2,64,5,100000,0
8,2,47,8,200000,0
9,2,27,11,505833,1
4,2,46,1,310000,0
2,2,21,9,715000,NA
13,2,60,8,100000,0
6,2,73,1,160000,0
8,2,51,1,279167,0
14,2,55,2,NA,0
4,2,78,1,NA,0
16,2,72,1,NA,0
8,2,22,9,40000,NA
8,2,59,11,2400000,1
3,2,13,1,NA,NA
14,2,4,0,NA,NA
15,2,40,11,580000,1
7,2,2,0,NA,NA
5,2,63,5,115000,0
